0 1
0.00500501 0.99502
0.01001 0.990065
0.015015 0.985134
0.02002 0.980228
0.025025 0.975346
0.03003 0.970489
0.035035 0.965656
0.04004 0.960847
0.045045 0.956062
0.0500501 0.951301
0.0550551 0.946563
0.0600601 0.941849
0.0650651 0.937159
0.0700701 0.932491
0.0750751 0.927848
0.0800801 0.923227
0.0850851 0.918629
0.0900901 0.914054
0.0950951 0.909502
0.1001 0.904973
0.105105 0.900466
0.11011 0.895982
0.115115 0.891519
0.12012 0.88708
0.125125 0.882662
0.13013 0.878266
0.135135 0.873892
0.14014 0.86954
0.145145 0.86521
0.15015 0.860901
0.155155 0.856614
0.16016 0.852348
0.165165 0.848103
0.17017 0.843879
0.175175 0.839677
0.18018 0.835495
0.185185 0.831334
0.19019 0.827194
0.195195 0.823075
0.2002 0.818976
0.205205 0.814897
0.21021 0.810839
0.215215 0.806801
0.22022 0.802783
0.225225 0.798785
0.23023 0.794807
0.235235 0.790849
0.24024 0.78691
0.245245 0.782991
0.25025 0.779092
0.255255 0.775212
0.26026 0.771351
0.265265 0.76751
0.27027 0.763688
0.275275 0.759885
0.28028 0.7561
0.285285 0.752335
0.29029 0.748588
0.295295 0.74486
0.3003 0.741151
0.305305 0.73746
0.31031 0.733787
0.315315 0.730133
0.32032 0.726497
0.325325 0.722879
0.33033 0.719279
0.335335 0.715697
0.34034 0.712132
0.345345 0.708586
0.35035 0.705057
0.355355 0.701546
0.36036 0.698052
0.365365 0.694576
0.37037 0.691117
0.375375 0.687675
0.38038 0.68425
0.385385 0.680843
0.39039 0.677452
0.395395 0.674078
0.4004 0.670721
0.405405 0.667381
0.41041 0.664057
0.415415 0.66075
0.42042 0.65746
0.425425 0.654185
0.43043 0.650928
0.435435 0.647686
0.44044 0.64446
0.445445 0.641251
0.45045 0.638057
0.455455 0.63488
0.46046 0.631718
0.465465 0.628572
0.47047 0.625442
0.475475 0.622327
0.48048 0.619228
0.485485 0.616144
0.49049 0.613076
0.495495 0.610022
0.500501 0.606984
0.505506 0.603962
0.510511 0.600954
0.515516 0.597961
0.520521 0.594983
0.525526 0.59202
0.530531 0.589072
0.535536 0.586138
0.540541 0.583219
0.545546 0.580315
0.550551 0.577425
0.555556 0.574549
0.560561 0.571688
0.565566 0.568841
0.570571 0.566008
0.575576 0.563189
0.580581 0.560384
0.585586 0.557594
0.590591 0.554817
0.595596 0.552054
0.600601 0.549304
0.605606 0.546569
0.610611 0.543847
0.615616 0.541138
0.620621 0.538444
0.625626 0.535762
0.630631 0.533094
0.635636 0.530439
0.640641 0.527797
0.645646 0.525169
0.650651 0.522554
0.655656 0.519951
0.660661 0.517362
0.665666 0.514785
0.670671 0.512222
0.675676 0.509671
0.680681 0.507133
0.685686 0.504607
0.690691 0.502094
0.695696 0.499594
0.700701 0.497105
0.705706 0.49463
0.710711 0.492167
0.715716 0.489716
0.720721 0.487277
0.725726 0.48485
0.730731 0.482435
0.735736 0.480033
0.740741 0.477642
0.745746 0.475264
0.750751 0.472897
0.755756 0.470542
0.760761 0.468198
0.765766 0.465867
0.770771 0.463547
0.775776 0.461238
0.780781 0.458941
0.785786 0.456656
0.790791 0.454381
0.795796 0.452119
0.800801 0.449867
0.805806 0.447627
0.810811 0.445397
0.815816 0.443179
0.820821 0.440972
0.825826 0.438776
0.830831 0.436591
0.835836 0.434417
0.840841 0.432253
0.845846 0.430101
0.850851 0.427959
0.855856 0.425827
0.860861 0.423707
0.865866 0.421597
0.870871 0.419497
0.875876 0.417408
0.880881 0.415329
0.885886 0.413261
0.890891 0.411203
0.895896 0.409155
0.900901 0.407117
0.905906 0.40509
0.910911 0.403072
0.915916 0.401065
0.920921 0.399068
0.925926 0.39708
0.930931 0.395103
0.935936 0.393135
0.940941 0.391177
0.945946 0.389229
0.950951 0.387291
0.955956 0.385362
0.960961 0.383443
0.965966 0.381533
0.970971 0.379633
0.975976 0.377743
0.980981 0.375862
0.985986 0.37399
0.990991 0.372127
0.995996 0.370274
1.001 0.36843
1.00601 0.366595
1.01101 0.36477
1.01602 0.362953
1.02102 0.361145
1.02603 0.359347
1.03103 0.357557
1.03604 0.355777
1.04104 0.354005
1.04605 0.352242
1.05105 0.350488
1.05606 0.348742
1.06106 0.347006
1.06607 0.345277
1.07107 0.343558
1.07608 0.341847
1.08108 0.340145
1.08609 0.338451
1.09109 0.336765
1.0961 0.335088
1.1011 0.333419
1.10611 0.331759
1.11111 0.330107
1.11612 0.328463
1.12112 0.326827
1.12613 0.325199
1.13113 0.32358
1.13614 0.321968
1.14114 0.320365
1.14615 0.318769
1.15115 0.317182
1.15616 0.315602
1.16116 0.314031
1.16617 0.312467
1.17117 0.310911
1.17618 0.309362
1.18118 0.307822
1.18619 0.306289
1.19119 0.304763
1.1962 0.303245
1.2012 0.301735
1.20621 0.300233
1.21121 0.298737
1.21622 0.29725
1.22122 0.295769
1.22623 0.294296
1.23123 0.292831
1.23624 0.291372
1.24124 0.289921
1.24625 0.288478
1.25125 0.287041
1.25626 0.285611
1.26126 0.284189
1.26627 0.282774
1.27127 0.281366
1.27628 0.279964
1.28128 0.27857
1.28629 0.277183
1.29129 0.275802
1.2963 0.274429
1.3013 0.273062
1.30631 0.271702
1.31131 0.270349
1.31632 0.269003
1.32132 0.267663
1.32633 0.26633
1.33133 0.265004
1.33634 0.263684
1.34134 0.262371
1.34635 0.261064
1.35135 0.259764
1.35636 0.258471
1.36136 0.257183
1.36637 0.255903
1.37137 0.254628
1.37638 0.25336
1.38138 0.252098
1.38639 0.250843
1.39139 0.249594
