0 1
0.0505051 0.951923
0.10101 0.906158
0.151515 0.862592
0.20202 0.821121
0.252525 0.781645
0.30303 0.744065
0.353535 0.708293
0.40404 0.674241
0.454545 0.641825
0.505051 0.610968
0.555556 0.581595
0.606061 0.553633
0.656566 0.527016
0.707071 0.501679
0.757576 0.47756
0.808081 0.4546
0.858586 0.432744
0.909091 0.411939
0.959596 0.392135
1.0101 0.373282
1.06061 0.355336
1.11111 0.338252
1.16162 0.32199
1.21212 0.30651
1.26263 0.291774
1.31313 0.277746
1.36364 0.264393
1.41414 0.251682
1.46465 0.239582
1.51515 0.228063
1.56566 0.217099
1.61616 0.206661
1.66667 0.196726
1.71717 0.187268
1.76768 0.178265
1.81818 0.169694
1.86869 0.161536
1.91919 0.15377
1.9697 0.146377
2.0202 0.139339
2.07071 0.13264
2.12121 0.126264
2.17172 0.120193
2.22222 0.114415
2.27273 0.108914
2.32323 0.103678
2.37374 0.0986932
2.42424 0.0939483
2.47475 0.0894316
2.52525 0.085132
2.57576 0.0810391
2.62626 0.077143
2.67677 0.0734342
2.72727 0.0699037
2.77778 0.0665429
2.82828 0.0633438
2.87879 0.0602984
2.92929 0.0573994
2.9798 0.0546398
3.0303 0.0520129
3.08081 0.0495123
3.13131 0.0471319
3.18182 0.044866
3.23232 0.0427089
3.28283 0.0406556
3.33333 0.038701
3.38384 0.0368404
3.43434 0.0350692
3.48485 0.0333832
3.53535 0.0317782
3.58586 0.0302504
3.63636 0.0287961
3.68687 0.0274117
3.73737 0.0260938
3.78788 0.0248393
3.83838 0.0236451
3.88889 0.0225083
3.93939 0.0214262
3.9899 0.0203961
4.0404 0.0194155
4.09091 0.0184821
4.14141 0.0175935
4.19192 0.0167477
4.24242 0.0159425
4.29293 0.015176
4.34343 0.0144464
4.39394 0.0137519
4.44444 0.0130907
4.49495 0.0124614
4.54545 0.0118622
4.59596 0.0112919
4.64646 0.0107491
4.69697 0.0102323
4.74747 0.00974035
4.79798 0.00927206
4.84848 0.00882629
4.89899 0.00840195
4.94949 0.00799801
5 0.00761349
